Child_Mort,Exports,Health,Imports,Income,Inflation,Life Expect,Total_Fert,GDPP,Class Value
High,Low,Average,Medium,Low,Medium,Low,High,Low,N
Medium,Medium,Good,High,Medium,High,Medium,Low,Medium,N
Low,Medium,Good,Medium,High,Low,High,Low,High,Y
High,Medium,Average,Medium,Low,High,Low,High,Low,N
Low,Low,Good,Low,High,Low,High,Low,High,Y
Medium,Low,Average,Medium,Medium,Low,Medium,Medium,Medium,Y
Medium,Low,Average,Medium,Medium,Medium,Medium,High,Medium,N
High,Medium,Bad,Medium,Low,High,Low,High,Low,N
High,Low,Good,Medium,Low,Medium,Low,High,Low,N
Medium,High,Average,High,Medium,Medium,Low,Medium,Medium,N
High,Low,Average,High,Low,Medium,Low,High,Low,N
Low,High,Average,High,High,Low,Medium,Low,High,Y
Low,High,Good,Medium,High,Medium,High,Medium,High,Y
High,Low,Bad,Low,Low,High,Low,Medium,Low,N
Medium,Low,Bad,Low,Medium,High,Medium,Medium,Medium,N
Medium,Low,Average,Low,Medium,High,Medium,Low,Medium,N
Medium,Medium,Good,Low,Medium,High,Low,High,Medium,N
Low,High,Good,High,High,Low,High,Medium,High,Y
Low,Medium,Average,Low,High,Low,High,Medium,High,Y
Low,Low,Good,Low,High,Low,High,Low,High,Y
Medium,Medium,Bad,Medium,Medium,High,Medium,Medium,Medium,N
Low,Low,Good,Low,High,Low,High,Low,High,N
Medium,High,Good,High,Medium,High,Medium,High,Medium,N
Medium,Medium,Bad,Low,High,High,Medium,Medium,Medium,N
High,Low,Bad,Low,Low,Low,Low,High,Low,N
High,Low,Good,High,Low,Low,Low,High,Low,N
Low,High,Bad,Low,High,High,High,Medium,High,Y
Medium,High,Average,High,Low,High,Medium,Medium,Low,N
High,Medium,Bad,Medium,Low,High,Low,High,Low,N
Low,High,Average,High,High,Low,Medium,Low,High,N
Low,Medium,Average,High,Medium,Low,High,Low,Medium,N
High,Medium,Good,High,Low,Medium,Low,High,Low,N
High,Low,Good,High,Low,Medium,Low,High,Low,N
Medium,High,Bad,Medium,High,High,High,Medium,High,N
Low,High,Average,High,High,Low,Medium,Low,High,Y
Low,High,Average,High,High,Medium,High,Low,High,Y
Low,Medium,Average,High,Medium,Low,Medium,Low,Medium,N
High,Low,Bad,Medium,Low,High,Low,High,Low,N
High,Low,Average,Medium,Low,High,Low,High,Low,N
Low,High,Bad,High,High,Medium,Medium,Medium,Medium,N
Medium,High,Average,High,Medium,Medium,High,Medium,Medium,Y
High,Low,Bad,Medium,Low,Medium,Low,High,Low,N
Low,High,Good,High,High,Medium,High,Low,High,Y
High,High,Bad,High,Low,High,Medium,High,Low,N
Medium,High,Average,High,Medium,Low,Medium,Low,Medium,N
High,Low,Good,High,Low,Medium,Low,High,Medium,N
Medium,Medium,Good,High,Low,High,Medium,Low,Low,N
Medium,Medium,Average,High,Medium,High,Low,Medium,Low,Y
Low,Medium,Good,High,Medium,Low,High,Low,Medium,N
Medium,Medium,Bad,Medium,Medium,Low,Medium,Medium,Medium,Y
High,Medium,Average,Medium,Low,Medium,Low,High,Low,N
High,Low,Bad,Low,Low,Medium,Low,Medium,Low,N
High,High,Average,High,Medium,Medium,Low,High,Medium,N
High,Low,Average,Medium,Low,High,Medium,Medium,Low,N
Low,High,Good,High,High,Low,High,Low,High,Y
Low,Medium,Good,Low,High,Medium,High,Medium,High,N
High,Low,Bad,Medium,Low,Low,Low,High,Low,N
High,Low,Bad,Low,Low,High,Low,High,Low,N
Low,Medium,Good,Low,High,Medium,High,Medium,High,Y
Medium,High,Bad,Medium,High,High,High,Medium,High,N
High,Low,Bad,Low,Low,High,Low,High,Low,N
Medium,High,Good,High,Medium,Low,High,Medium,Medium,Y
Medium,High,Average,Medium,Medium,Medium,Medium,Medium,Medium,N
Medium,Medium,Bad,Low,Medium,Medium,High,Medium,Medium,N
Medium,Medium,Bad,Medium,Medium,Medium,Medium,High,Low,N
Low,Medium,Average,Medium,High,Low,High,Low,High,Y
Low,Medium,Good,Medium,High,Low,High,Low,High,Y
Low,High,Bad,Low,High,Medium,High,Medium,High,Y
Medium,Medium,Average,Medium,High,Medium,Medium,Low,Medium,Y
Low,Medium,Bad,Low,High,High,Medium,Low,High,N
High,Low,Good,Low,Low,Low,Low,High,Low,N
Medium,Medium,Bad,High,Medium,Medium,Medium,Medium,Medium,N
Medium,Medium,Average,High,Low,Low,Medium,High,Medium,N
Medium,High,Bad,Low,High,High,Medium,Medium,High,Y
High,Low,Average,Medium,Low,Low,Low,High,Low,N
Low,Medium,Good,Medium,Medium,Medium,Medium,Low,Medium,Y
Medium,High,Bad,High,High,Low,Medium,Medium,High,Y
High,Low,Good,Medium,Low,High,Low,High,Low,N
Low,High,Bad,High,High,Low,High,Low,High,Y
Low,High,Good,High,High,Low,Medium,Low,High,Y
Low,High,Good,High,High,Low,High,Low,High,Y
Medium,High,Good,High,Low,Medium,Low,High,Low,N
High,Medium,Good,Low,Medium,Medium,Low,Medium,Medium,N
Low,High,Average,Medium,High,Medium,High,Low,High,N
Low,Low,Good,Low,High,Low,High,Low,High,Y
Medium,Low,Bad,Low,Medium,High,Medium,Medium,Medium,N
High,Low,Average,Low,Low,High,Low,High,Low,N
Medium,High,Average,Medium,Medium,Medium,Medium,Medium,Medium,N
Low,Medium,Good,Medium,High,Low,High,Medium,High,Y
Low,High,Good,High,High,Low,High,Low,High,Y
High,Low,Average,High,Low,High,Medium,High,Low,N
High,Low,Average,Low,Low,High,Low,High,Low,N
Medium,High,Bad,High,Medium,Medium,High,Low,Medium,N
High,Low,Good,Low,Low,High,Medium,High,Medium,N
High,Medium,Average,High,Low,Low,Low,High,Low,N
Medium,Low,Bad,High,Low,Medium,Medium,High,Medium,N
Medium,High,Average,High,Medium,Medium,High,Medium,Medium,N
Medium,Low,Average,Low,High,Medium,High,Medium,High,Y
High,High,Bad,Medium,Medium,Low,Low,Medium,Medium,N
High,Low,Good,Low,Low,High,Low,High,Low,N
Medium,High,Average,Medium,Medium,High,Medium,Low,Medium,N
Low,High,Bad,High,High,High,High,Low,High,Y
Low,Medium,Good,Low,High,Low,High,Low,High,Y
Low,Low,Good,Low,High,Low,High,Low,High,Y
Low,Low,Good,Low,Medium,Medium,High,Medium,High,Y
Medium,Medium,Average,Low,Low,High,Medium,Medium,Low,N
Medium,Medium,Average,Medium,Low,Medium,Low,High,Medium,N
Medium,Medium,Bad,Low,Medium,High,Medium,Medium,High,N
Medium,High,Average,High,Low,High,Medium,Medium,Low,N
High,Medium,Bad,Medium,Low,High,Low,High,Low,N
High,Medium,Average,Low,Low,High,Low,High,Low,N
